! = OperadorLogico
!= = OperadorRelacional
&& = OperadorLogico
& = Caracter
|| = OperadorLogico
| = Caracter
++ = IncrementoTermino
+ = OperadorTermino
-- = IncrementoTermino
- = IncrementoTermino
* = OperadorFactor
/ = OperadorFactor
% = OperadorFactor
+= = IncrementoTermino
-= = IncrementoTermino
*= = IncrementoTermino
/= = IncrementoTermino
%= = IncrementoTermino
x26 = Identificador
= = Identificador
38.5e+10 = Asignacion
? = Ternario
== = OperadorRelacional
= = OperadorRelacional
< = OperadorRelacional
<> = OperadorRelacional
>= = OperadorRelacional
= = OperadorRelacional
char = TipoDato
, = Caracter
float = TipoDato
, = Caracter
private = Zona
, = Caracter
for = Ciclo
, = Caracter
do = Ciclo
; = FinSentencia
"Erik" = Cadena
'Erik' = Cadena
Error .__.
